epoch,train_loss,val_loss,w_hilbert
1,11.604851264953613,1.1909408342270624,1.5834226381386498e-05
2,0.8622297582626343,0.7374169958962334,3.1668452762772995e-05
3,0.774569836139679,0.6942020801324693,4.7502679144159496e-05
4,0.8151065421104431,0.5573099132568117,6.333690552554599e-05
5,0.7194824537038803,0.5535890020075298,7.917113190693248e-05
6,0.6509819879531861,0.5400319283916837,9.500535828831899e-05
7,0.6940161365270615,1.0118142049463967,0.00011083958466970547
8,0.6772875074148178,0.658007770303696,0.00012667381105109198
9,0.6857681339979171,0.5124189801632412,0.00014250803743247846
10,0.7472094036340714,0.47423176065323847,0.00015834226381386497
11,0.5939817131757736,0.5993528626267872,0.00017417649019525148
12,1.1276886208057404,0.6656105248701005,0.00019001071657663798
13,0.7932407227754593,0.4766159204263536,0.00020584494295802447
14,0.5477104425430298,0.43408731099159,0.00022167916933941095
15,0.6459212703704834,1.6068734309029957,0.00023751339572079743
16,0.5978816547393799,0.4144360569734422,0.00025334762210218396
17,0.4588285142183304,0.42477319354102727,0.00026918184848357047
18,0.47534816873073577,0.42589527888903544,0.0002850160748649569
19,0.5183970037698745,0.39865904573410277,0.00030085030124634343
20,0.5987140768766404,0.6591240527137877,0.00031668452762772994
21,0.6965106741189957,0.4040177445563059,0.00033251875400911645
22,0.46982816052436827,0.4165850943989224,0.00034835298039050295
23,0.5209430669546127,0.42375629761862377,0.0003641872067718894
24,0.5514339065551758,0.4047727234779842,0.00038002143315327597
25,0.46081791138648986,0.38669614044446793,0.0003958556595346624
26,0.44121597743034363,0.4848253320133875,0.00041168988591604893
27,0.5527244786024094,0.42596322014218285,0.00042752411229743544
28,0.485859193444252,0.4377906998944661,0.0004433583386788219
29,0.4730308208465576,0.3911281554471879,0.00045919256506020845
30,0.6022682620286941,0.8483351208860912,0.00047502679144159485
31,0.5475576350688934,0.4097277465320769,0.0004908610178229814
32,0.5476623214483262,0.3757185179089743,0.0005066952442043679
33,0.4364044588804245,0.3922217209187765,0.0005225294705857544
34,0.39959298610687255,0.3885590916588193,0.0005383636969671409
35,0.39352954518795014,0.3609325403258914,0.0005541979233485275
36,0.40204091346263887,0.5601257880528768,0.0005700321497299138
37,0.571070968747139,0.5643580816094838,0.0005858663761113004
38,0.4121649922132492,0.3596492206293439,0.0006017006024926869
39,0.39542126667499544,0.3536338233758533,0.0006175348288740734
40,0.42875749933719637,0.4777334848093608,0.0006333690552554599
41,0.45286199259758,0.35133117626583765,0.0006492032816368463
42,0.4260709310770035,0.3629168395012144,0.0006650375080182329
43,0.3967407969236374,0.3499820601372492,0.0006808717343996193
44,0.5550911682844162,0.3517029020521376,0.0006967059607810059
45,0.3851238545179367,0.33826538778486703,0.0007125401871623924
46,0.35923691987991335,0.36657014820310807,0.0007283744135437788
47,0.3737984516620636,0.3262781742073241,0.0007442086399251654
48,0.38748737597465516,0.49326048152787344,0.0007600428663065519
49,0.3588140280842781,0.418401309895137,0.0007758770926879384
50,0.3662393134236336,0.35566573105161153,0.0007917113190693248
51,0.33564217031002047,0.31234384339953225,0.0008075455454507113
52,0.3570322279930115,0.28830009202162427,0.0008233797718320979
53,0.36698107558488846,0.6861360006862216,0.0008392139982134843
