trial_name,lhs_overall_rse_db,best_val_loss,best_epoch,hp_base_channels,hp_batch_size,hp_lr,hp_weight_decay,hp_w_ri,hp_w_mag_db,hp_db_loss_mode,hp_db_weight_alpha,hp_db_weight_max,hp_db_weight_eps,hp_w_slope,hp_w_curv,hp_w_passivity,hp_w_hilbert,hp_hilbert_edge_frac,hp_hilbert_warmup_epochs
trial_001,0.015221519395709,0.0377828456786653,197,,16,0.0004302517396016,0.0007114476009343,0.1389986300840506,0.7638919733850194,rse,0.7727374508106509,6.934472157654941,4.5897367362261086e-05,0.2192205135282351,0.0801393764679011,0.0864283464465452,0.0016467595436641,0.1954864778242991,104
trial_002,0.0158738922327756,0.0409163436852395,239,,32,0.0019865365153376,0.0004246914525036,0.1177428639739905,0.7125213767528884,rse,1.0100061509770986,9.483309231308752,0.0001041095696042,0.18251080694861,0.0496788991635647,0.0988874635538753,0.0110735549773813,0.1553533680501546,120
trial_003,0.0170077253133058,0.0501711063441776,186,,16,0.0012198914126596,0.0006298166655878,0.1951539110526112,1.0071047436022882,rse,0.8261346038613709,5.641548831461747,0.0001007635542324,0.2004086414783693,0.0905578270217947,0.1009479078296395,0.0186585003074298,0.1486500720456077,104
trial_004,0.017496870830655,0.0428018179677781,267,,16,0.000719855837224,3.547985735230061e-05,0.1645849423492173,0.8283536991889696,rse,1.171553485929964,11.564953828818464,4.931091120606111e-05,0.2270073274885866,0.0382763389215832,0.0827197073378894,0.0046477381544639,0.17854699675399,63
trial_005,0.0183427035808563,0.0596041780497346,222,,16,0.0006983747522055,3.5856126103453987e-06,0.3237068376069122,1.3576899766921935,rse,1.743106263727894,9.708053227097428,5.7815443487453454e-05,0.2320310740553168,0.0160615627564899,0.0275380291782017,0.003618183112843,0.0987995496144896,59
trial_014,0.01979154348373413,0.08396922226529568,237,,32,0.002210152798151516,6.150655325085191e-05,0.14003656866528272,1.1174335433054878,rse,1.049354960595248,11.464137385599384,0.00012030097558762396,0.22044339797863066,0.039499386578169725,0.07160393157760518,0.035185197410634195,0.15846275248398695,112
trial_013,0.02168341726064682,0.060603226195015604,280,,16,0.00041917113185493596,0.00044527076993421604,0.13711032369221388,0.7882520376826669,rse,0.7656318809648213,17.745874975110723,4.0608514463437686e-05,0.21513835530262865,0.11340148100941069,0.10650568708663101,0.03414087020345188,0.18971034376152082,54
default,0.02381223998963833,0.05033913603614247,233,64.0,16,0.0004302517396016556,0.0007114476009343421,0.13899863008405067,0.7638919733850194,rse,0.7727374508106509,6.934472157654941,4.5897367362261086e-05,0.2192205135282351,0.0801393764679011,0.08642834644654523,0.0016467595436641957,0.19548647782429918,104
trial_006,0.0244672484695911,0.0749188490685016,241,,16,0.0001801251960884,0.0007025166339242,0.1244180285015959,1.4526563291633727,rse,0.9675666141341164,12.321088338844971,0.0002670763817758,0.1212350735601083,0.0202547793555973,0.061945344662796,0.0027510816892174,0.1863980603118173,46
trial_010,0.03219643235206604,0.06931213929783553,294,,32,0.0002629638931864979,0.0005058467596296101,0.10480717979464707,1.0386639922416472,rse,0.7626596864585033,14.428190742417632,0.00020779916603442318,0.10911089095314463,0.10527272299831165,0.07447472063344025,0.005384403484499804,0.08260939680351007,24
trial_015,0.035882510244846344,0.0531555765774101,162,,32,0.0020969339322399498,0.0005671456246959044,0.11624495255268806,0.8364902063830728,rse,1.2078780814227779,6.272843188789581,0.00013858010175603995,0.18384798731066956,0.02411170759444875,0.11654817494044366,0.010012699682939196,0.09539701316224497,106
trial_011,0.04596588760614395,0.10169422393664718,294,,64,0.0005376705312463972,0.0004972506296212677,0.23517390779277025,0.9623903729893908,rse,1.2457183972001489,12.458928229635816,2.419143998685616e-05,0.02201682626950124,0.02523245886011542,0.06119657503258241,0.0788794811788961,0.06918701005451362,119
trial_007,0.0920829176902771,0.1570838522166013,293,,64,0.0003530443480562,3.752055855124284e-05,0.1348734651630104,1.02135911338874,rse,1.4113172778521577,6.7283859789966645,2.3985449045910297e-05,0.1042632239575491,0.0620087480271294,0.0952952355601965,0.0159739025726687,0.1271351657620417,79
trial_000,0.6305869817733765,0.5707927142816877,2,,16,0.0004302517396016556,0.0007114476009343421,0.13899863008405067,0.7638919733850194,rse,0.7727374508106509,6.934472157654941,4.5897367362261086e-05,0.2192205135282351,0.0801393764679011,0.08642834644654523,0.0016467595436641957,0.19548647782429918,104
